version,entity_name,entity_kind,attributes
9.1,pg_foreign_data_wrapper,Table,"{""(oid,oid)"",""(fdwname,name)"",""(fdwowner,oid)"",""(fdwhandler,oid)"",""(fdwvalidator,oid)"",""(fdwacl,aclitem[])"",""(fdwoptions,text[])""}"
9.1,pg_foreign_server,Table,"{""(oid,oid)"",""(srvname,name)"",""(srvowner,oid)"",""(srvfdw,oid)"",""(srvtype,text)"",""(srvversion,text)"",""(srvacl,aclitem[])"",""(srvoptions,text[])""}"
9.1,pg_foreign_table,Table,"{""(ftrelid,oid)"",""(ftserver,oid)"",""(ftoptions,text[])""}"
9.1,pg_index,Table,"{""(indexrelid,oid)"",""(indrelid,oid)"",""(indnatts,smallint)"",""(indisunique,boolean)"",""(indisprimary,boolean)"",""(indisexclusion,boolean)"",""(indimmediate,boolean)"",""(indisclustered,boolean)"",""(indisvalid,boolean)"",""(indcheckxmin,boolean)"",""(indisready,boolean)"",""(indkey,int2vector)"",""(indcollation,oidvector)"",""(indclass,oidvector)"",""(indoption,int2vector)"",""(indexprs,pg_node_tree)"",""(indpred,pg_node_tree)""}"
9.1,pg_inherits,Table,"{""(inhrelid,oid)"",""(inhparent,oid)"",""(inhseqno,integer)""}"
9.1,pg_language,Table,"{""(oid,oid)"",""(lanname,name)"",""(lanowner,oid)"",""(lanispl,boolean)"",""(lanpltrusted,boolean)"",""(lanplcallfoid,oid)"",""(laninline,oid)"",""(lanvalidator,oid)"",""(lanacl,aclitem[])""}"
9.1,pg_largeobject,Table,"{""(loid,oid)"",""(pageno,integer)"",""(data,bytea)""}"
9.1,pg_largeobject_metadata,Table,"{""(oid,oid)"",""(lomowner,oid)"",""(lomacl,aclitem[])""}"
9.1,pg_namespace,Table,"{""(oid,oid)"",""(nspname,name)"",""(nspowner,oid)"",""(nspacl,aclitem[])""}"
9.1,pg_opclass,Table,"{""(oid,oid)"",""(opcmethod,oid)"",""(opcname,name)"",""(opcnamespace,oid)"",""(opcowner,oid)"",""(opcfamily,oid)"",""(opcintype,oid)"",""(opcdefault,boolean)"",""(opckeytype,oid)""}"
9.1,pg_operator,Table,"{""(oid,oid)"",""(oprname,name)"",""(oprnamespace,oid)"",""(oprowner,oid)"",""(oprkind,\""\""\""char\""\""\"")"",""(oprcanmerge,boolean)"",""(oprcanhash,boolean)"",""(oprleft,oid)"",""(oprright,oid)"",""(oprresult,oid)"",""(oprcom,oid)"",""(oprnegate,oid)"",""(oprcode,regproc)"",""(oprrest,regproc)"",""(oprjoin,regproc)""}"
9.1,pg_opfamily,Table,"{""(oid,oid)"",""(opfmethod,oid)"",""(opfname,name)"",""(opfnamespace,oid)"",""(opfowner,oid)""}"
9.1,pg_pltemplate,Table,"{""(tmplname,name)"",""(tmpltrusted,boolean)"",""(tmpldbacreate,boolean)"",""(tmplhandler,text)"",""(tmplinline,text)"",""(tmplvalidator,text)"",""(tmpllibrary,text)"",""(tmplacl,aclitem[])""}"
9.1,pg_proc,Table,"{""(oid,oid)"",""(proname,name)"",""(pronamespace,oid)"",""(proowner,oid)"",""(prolang,oid)"",""(procost,real)"",""(prorows,real)"",""(provariadic,oid)"",""(proisagg,boolean)"",""(proiswindow,boolean)"",""(prosecdef,boolean)"",""(proisstrict,boolean)"",""(proretset,boolean)"",""(provolatile,\""\""\""char\""\""\"")"",""(pronargs,smallint)"",""(pronargdefaults,smallint)"",""(prorettype,oid)"",""(proargtypes,oidvector)"",""(proallargtypes,oid[])"",""(proargmodes,\""\""\""char\""\""[]\"")"",""(proargnames,text[])"",""(proargdefaults,pg_node_tree)"",""(prosrc,text)"",""(probin,text)"",""(proconfig,text[])"",""(proacl,aclitem[])""}"
